,0,Toss_win_and_Match_win
0,Chennai Super Kings,34.756097560975604
1,Deccan Chargers,25.333333333333336
2,Delhi Capitals,43.75
3,Delhi Daredevils,21.73913043478261
4,Gujarat Lions,33.33333333333333
5,Kings XI Punjab,19.886363636363637
6,Kochi Tuskers Kerala,28.57142857142857
7,Kolkata Knight Riders,29.775280898876407
8,Mumbai Indians,29.946524064171122
9,Pune Warriors,6.521739130434782
10,Rajasthan Royals,28.57142857142857
11,Rising Pune Supergiant,31.25
12,Rising Pune Supergiants,21.428571428571427
13,Royal Challengers Bangalore,22.77777777777778
14,Sunrisers Hyderabad,21.296296296296298
