,0,Winning%
0,Chennai Super Kings,60.97560975609756
1,Deccan Chargers,38.666666666666664
2,Delhi Capitals,62.5
3,Delhi Daredevils,41.61490683229814
4,Gujarat Lions,43.333333333333336
5,Kings XI Punjab,46.590909090909086
6,Kochi Tuskers Kerala,42.857142857142854
7,Kolkata Knight Riders,51.68539325842697
8,Mumbai Indians,58.288770053475936
9,Pune Warriors,26.08695652173913
10,Rajasthan Royals,51.02040816326531
11,Rising Pune Supergiant,62.5
12,Rising Pune Supergiants,35.714285714285715
13,Royal Challengers Bangalore,46.666666666666664
14,Sunrisers Hyderabad,53.70370370370371
